number,title,link,state
1,UFO001 Prolog,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo001prolog.m4a,done
2,UFO002 Fehlkäufe/Unwichtiges,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo002_fertig.mp3,done
3,UFO003 Magnete/Mails,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo_3_fertig.mp3,done
4,UFO004 Offene Themenparade,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo004_fertiger.mp3,done
5,UFO005 Tele5,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo005_fertig.mp3,done
6,UFO006 Möbel und Möglichkeiten,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo006_fertig.mp3,done
7,UFO007 Prüfen und Liefern,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo007_fertig.mp3,done
8,UFO008 Sport ist ihr Hobby,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo008_fertig.mp3,done
9,UFO009 Ja und Nein,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo009_fertig.mp3,done
10,UFO010 Aufschieben und Zukunft,https://sphinx.acast.com/podcast-ufo/ufo010aufschiebenundzukunft/media.mp3,done
11,UFO011 Professionalität und Marketing,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo011_fertig.mp3,done
12,UFO012 Chaos,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo12_fettig.mp3,done
13,UFO013 Licht,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo013_fertig.mp3,done
14,UFO014 Scham,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo014_fertig.mp3,done
15,UFO015 Zeit,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo015_fertig.mp3,done
16,UFO016 Oli P.,https://web.archive.org/web/20200621103800/http://podcast-ufo.fail/wp-content/uploads/ufo016_fertig.mp3,done
17,UFO017 Schenken und Schinken,https://web.archive.org/web/20200621103800/http://podcast-ufo.fail/wp-content/uploads/ufo017_fertig.mp3,done
18,UFO018 Chancen,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo018_fertig.mp3,done
19,UFO019 Hobbys,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo019_fertig.mp3,done
20,UFO020 Universum,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo020_fertig.mp3,done
21,UFO021 Schlaf und Traum,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo21_fertig.mp3,done
22,UFO022 Sinne,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo022_fertig.mp3,done
23,UFO023 Nostalgie,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo023_fertig.mp3,done
24,UFO024 Nostalgie 2,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo024_fertig.mp3,done
25,UFO025 Trends,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo025_fertig.mp3,done
26,UFO026 Humorkongress,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo026_fertig.mp3,done
27,UFO027 Supermarkt,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo027_fertig.mp3,done
28,UFO028 Freizeitparks,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo028_fertig.mp3,done
29,UFO029 Nils Bokelberg,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo029_fertig.mp3,done
30,UFO030 Stand-Up,https://web.archive.org/web/20201113201409/https://podcast-ufo.fail/wp-content/uploads/ufo030_fertig.mp3,done
